Primary Key,Order Date,Product Category,Complaint,Cause,Correction,Root Cause,Symptom Condition 1,Symptom Component 1,Symptom Condition 2,Symptom Component 2,Symptom Condition 3,Symptom Component 3,Fix Condition 1,Fix Component 1,Fix Condition 2,Fix Component 2,Fix Condition 3,Fix Component 3
SO0026296-1,3/8/2023,SPRAYS,visibly notice fasteners cab p clips air ducting left loose,tighten factory,go retighten p clips nuts bolts necessaryalso found two bulkhead connectors fully locked left rear machine one right boomrunning tests fault,not tighten,loose,left air duct,loose,p clips,loose,,locked,bulkhead connectors,locked,p clips,locked,bolts
SO0026385-1,3/8/2023,SPRAYS,fuel door stay open,gas strut installed anywhere machine,found gas strut installed anywhere machineinstall gas strutrun test,not installed,won't stay open,fuel door,won't stay open,fuel sender,won't stay open,,installed,,installed,,installed,
SO0026385-11,3/8/2023,SPRAYS,compressor pressure line braided steel crushed,compressor pressure line braided steel crushed deliverd,drain air systemremove associated p clipsremove replace braided steel compressor linerunning test,crushed,crushed,compressor pressure line,crushed,braided steel,crushed,,-,braided steel,-,compressor pressure line,-,left air duct
SO0028352-1,3/8/2023,SPRAYS,oil running bottom machine,oil return machine swivel fitting left loose factory,oil return machine swivel fitting left loose factoryretorque fitting test runfittings still leakingremove hose blockreplace oring bosse reinstalltop hydraulic reservoirrun test,loose,oil running,,oil running,,oil running,,-,swivel fitting,-,hose,-,oring
SO0028770-1,3/8/2023,SPRAYS,missing vector intrip unlocks,missing vector intrip unlocks installed,installed missing unlocks ran tested,not installed,unlocks,intrip,unlocks,vector,unlocks,,installed,,installed,,installed,
SO0029596-1,3/8/2023,SPRAYS,oil dripping coupler return line product pump,coupler leaking,remove coupler free hammer socket order continue test run machineorder parts dealer transferred due backorderremove replace coupler end run test,leaking,oil dripping,coupler,oil dripping,compressor pressure line,oil dripping,,-,coupler,-,,-,
SO0058466-2,5/5/2023,SPRAYS,components missing boom mount smv sign,included factory,service call 7 milesinstall missing brackets bolts install smv sign,not included,components missing,,components missing,,components missing,,-,brackets,-,bolts,-,
SO0058466-3,5/16/2023,SPRAYS,oil dripping bottom machinepictures included,oring male quick connect sticking fitting,service call14 milesoring male quick connect sticking fittingparts depict fast couplingdisassemble match oringtop hydraulic reservoirrunning test,oring,oil dripping,,oil dripping,,oil dripping,,-,hydraulic reservoir,-,,-,
SO0058466-4,5/16/2023,SPRAYS,oil leak,blown oring,loaded truck drove sprayer got sprayer started looking leak found oring peice sticking fitting uncoupled hose fitting removed fitting adapter found damaged oring looked oring part numbermatched oring kit,oring,leak,,leak,,leak,,-,oring,-,swivel fitting,-,adapter
SO0058466-5,5/16/2023,SPRAYS,harness broke,poor material harness,farm replaced ncv harness lh boom outer boom mid boom fold bulk head got tore unhooked ncvs harness cut zipties removed old harness installed new harness zip tie,poor material,broke,ncv harness,broke,,broke,,replaced,ncv harness,replaced,bulk head,replaced,
SO0058668-1,5/31/2023,SPRAYS,rinse tank leak,sight glass tube leaking,total miles 160mileage 181342mileage 181502location 1701 us hwy 14 w huron sd 4376885 9897190drive time unitinspected sight tube leaktube leaking connectionsreleased old tube top bottom connectioncleaned,leaking,leak,rinse tank,leak,,leak,,-,sight glass tube,-,,-,
SO0058674-1,5/31/2023,SPRAYS,fuel sender open,failed sending unitpn 51457614unit hrs 1975,began troubleshooting fuel sender code pulled codes followed troubleshooting per etim removed hood machine checked voltages wires found good removed inspected connectors verify pins seated andnot damaged wi,failed sending,open,fuel sender,open,fuel door,open,,fixed codes,fuel sender,fixed codes,hood,fixed codes,bulkhead connectors
